Date,Open,High,Low,Close,Volume,Adj Close
20150617 09:15:27.600,5084.2,5084.2,5084.2,5084.2,6073,5084.2
20150617 09:15:28.100,5083.6,5083.6,5083.6,5083.6,6122,5083.6
20150617 09:15:28.600,5083.0,5083.0,5083.0,5083.0,6164,5083.0
20150617 09:15:29.100,5082.6,5082.6,5082.6,5082.6,6205,5082.6
20150617 09:15:29.600,5082.6,5082.6,5082.6,5082.6,6232,5082.6
20150617 09:15:30.100,5082.4,5082.4,5082.4,5082.4,6259,5082.4
20150617 09:15:30.600,5082.6,5082.6,5082.6,5082.6,6315,5082.6
20150617 09:15:31.100,5082.4,5082.4,5082.4,5082.4,6356,5082.4
20150617 09:15:31.600,5082.4,5082.4,5082.4,5082.4,6390,5082.4
20150617 09:15:32.100,5082.6,5082.6,5082.6,5082.6,6452,5082.6
20150617 09:15:32.600,5082.6,5082.6,5082.6,5082.6,6488,5082.6
20150617 09:15:33.100,5082.0,5082.0,5082.0,5082.0,6513,5082.0
20150617 09:15:33.600,5082.0,5082.0,5082.0,5082.0,6540,5082.0
20150617 09:15:34.100,5081.6,5081.6,5081.6,5081.6,6591,5081.6
20150617 09:15:34.600,5082.4,5082.4,5082.4,5082.4,6622,5082.4
20150617 09:15:35.100,5082.4,5082.4,5082.4,5082.4,6654,5082.4
20150617 09:15:35.600,5082.6,5082.6,5082.6,5082.6,6683,5082.6
20150617 09:15:36.100,5082.6,5082.6,5082.6,5082.6,6713,5082.6
20150617 09:15:36.600,5082.6,5082.6,5082.6,5082.6,6747,5082.6
20150617 09:15:37.100,5083.4,5083.4,5083.4,5083.4,6765,5083.4
20150617 09:15:37.600,5084.0,5084.0,5084.0,5084.0,6807,5084.0
20150617 09:15:38.100,5084.0,5084.0,5084.0,5084.0,6824,5084.0
20150617 09:15:38.600,5083.6,5083.6,5083.6,5083.6,6873,5083.6
20150617 09:15:39.100,5083.6,5083.6,5083.6,5083.6,6892,5083.6
20150617 09:15:39.600,5084.0,5084.0,5084.0,5084.0,6923,5084.0
20150617 09:15:40.100,5084.2,5084.2,5084.2,5084.2,6939,5084.2
20150617 09:15:40.600,5084.2,5084.2,5084.2,5084.2,6978,5084.2
20150617 09:15:41.100,5084.0,5084.0,5084.0,5084.0,7018,5084.0
20150617 09:15:41.600,5084.6,5084.6,5084.6,5084.6,7034,5084.6
20150617 09:15:42.100,5084.6,5084.6,5084.6,5084.6,7048,5084.6
20150617 09:15:42.600,5084.8,5084.8,5084.8,5084.8,7110,5084.8
20150617 09:15:43.100,5084.2,5084.2,5084.2,5084.2,7178,5084.2
20150617 09:15:43.600,5084.8,5084.8,5084.8,5084.8,7197,5084.8
20150617 09:15:44.100,5084.2,5084.2,5084.2,5084.2,7209,5084.2
20150617 09:15:44.600,5084.6,5084.6,5084.6,5084.6,7240,5084.6
20150617 09:15:45.100,5084.6,5084.6,5084.6,5084.6,7288,5084.6
20150617 09:15:45.600,5084.0,5084.0,5084.0,5084.0,7300,5084.0
20150617 09:15:46.100,5083.2,5083.2,5083.2,5083.2,7310,5083.2
20150617 09:15:46.600,5083.2,5083.2,5083.2,5083.2,7320,5083.2
20150617 09:15:47.100,5082.8,5082.8,5082.8,5082.8,7332,5082.8
20150617 09:15:47.600,5082.8,5082.8,5082.8,5082.8,7358,5082.8
20150617 09:15:48.100,5083.0,5083.0,5083.0,5083.0,7386,5083.0
20150617 09:15:48.600,5082.8,5082.8,5082.8,5082.8,7407,5082.8
20150617 09:15:49.100,5082.8,5082.8,5082.8,5082.8,7435,5082.8
20150617 09:15:49.600,5082.0,5082.0,5082.0,5082.0,7488,5082.0
20150617 09:15:50.100,5081.6,5081.6,5081.6,5081.6,7517,5081.6
20150617 09:15:50.600,5081.4,5081.4,5081.4,5081.4,7551,5081.4
20150617 09:15:51.100,5081.4,5081.4,5081.4,5081.4,7570,5081.4
20150617 09:15:51.600,5081.0,5081.0,5081.0,5081.0,7635,5081.0
20150617 09:15:52.100,5081.2,5081.2,5081.2,5081.2,7665,5081.2
20150617 09:15:52.600,5081.0,5081.0,5081.0,5081.0,7706,5081.0
20150617 09:15:53.100,5081.2,5081.2,5081.2,5081.2,7737,5081.2
20150617 09:15:53.600,5081.4,5081.4,5081.4,5081.4,7767,5081.4
20150617 09:15:54.100,5082.2,5082.2,5082.2,5082.2,7781,5082.2
20150617 09:15:54.600,5082.4,5082.4,5082.4,5082.4,7819,5082.4
20150617 09:15:55.100,5082.6,5082.6,5082.6,5082.6,7858,5082.6
20150617 09:15:55.600,5082.2,5082.2,5082.2,5082.2,7889,5082.2
20150617 09:15:56.100,5082.4,5082.4,5082.4,5082.4,7909,5082.4
20150617 09:15:56.600,5081.6,5081.6,5081.6,5081.6,7917,5081.6
20150617 09:15:57.100,5082.0,5082.0,5082.0,5082.0,7929,5082.0
20150617 09:15:57.600,5081.8,5081.8,5081.8,5081.8,7964,5081.8
20150617 09:15:58.100,5081.8,5081.8,5081.8,5081.8,8002,5081.8
20150617 09:15:58.600,5081.8,5081.8,5081.8,5081.8,8015,5081.8
20150617 09:15:59.100,5082.0,5082.0,5082.0,5082.0,8031,5082.0
20150617 09:15:59.600,5081.0,5081.0,5081.0,5081.0,8046,5081.0
20150617 09:16:00.100,5081.2,5081.2,5081.2,5081.2,8102,5081.2
20150617 09:16:00.600,5080.4,5080.4,5080.4,5080.4,8139,5080.4
20150617 09:16:01.100,5079.4,5079.4,5079.4,5079.4,8217,5079.4
20150617 09:16:01.600,5080.8,5080.8,5080.8,5080.8,8279,5080.8
20150617 09:16:02.100,5081.0,5081.0,5081.0,5081.0,8349,5081.0
20150617 09:16:02.600,5081.2,5081.2,5081.2,5081.2,8428,5081.2
20150617 09:16:03.100,5082.8,5082.8,5082.8,5082.8,8487,5082.8
20150617 09:16:03.600,5081.6,5081.6,5081.6,5081.6,8530,5081.6
20150617 09:16:04.100,5083.0,5083.0,5083.0,5083.0,8593,5083.0
20150617 09:16:04.600,5081.4,5081.4,5081.4,5081.4,8643,5081.4
20150617 09:16:05.100,5081.4,5081.4,5081.4,5081.4,8680,5081.4
20150617 09:16:05.600,5081.6,5081.6,5081.6,5081.6,8716,5081.6
20150617 09:16:06.100,5081.4,5081.4,5081.4,5081.4,8770,5081.4
20150617 09:16:06.600,5080.8,5080.8,5080.8,5080.8,8802,5080.8
20150617 09:16:07.100,5081.4,5081.4,5081.4,5081.4,8815,5081.4
20150617 09:16:07.600,5080.2,5080.2,5080.2,5080.2,8883,5080.2
20150617 09:16:08.100,5078.4,5078.4,5078.4,5078.4,8909,5078.4
20150617 09:16:08.600,5077.4,5077.4,5077.4,5077.4,8979,5077.4
20150617 09:16:09.100,5077.0,5077.0,5077.0,5077.0,9055,5077.0
20150617 09:16:09.600,5077.0,5077.0,5077.0,5077.0,9122,5077.0
20150617 09:16:10.100,5077.4,5077.4,5077.4,5077.4,9179,5077.4
20150617 09:16:10.600,5076.8,5076.8,5076.8,5076.8,9249,5076.8
20150617 09:16:11.100,5077.4,5077.4,5077.4,5077.4,9308,5077.4
20150617 09:16:11.600,5077.2,5077.2,5077.2,5077.2,9403,5077.2
20150617 09:16:12.100,5078.2,5078.2,5078.2,5078.2,9446,5078.2
20150617 09:16:12.600,5078.6,5078.6,5078.6,5078.6,9468,5078.6
20150617 09:16:13.100,5077.4,5077.4,5077.4,5077.4,9498,5077.4
20150617 09:16:13.600,5078.4,5078.4,5078.4,5078.4,9525,5078.4
20150617 09:16:14.100,5078.6,5078.6,5078.6,5078.6,9554,5078.6
20150617 09:16:14.600,5078.6,5078.6,5078.6,5078.6,9582,5078.6
20150617 09:16:15.100,5078.8,5078.8,5078.8,5078.8,9599,5078.8
20150617 09:16:15.600,5078.6,5078.6,5078.6,5078.6,9652,5078.6
20150617 09:16:16.100,5078.6,5078.6,5078.6,5078.6,9669,5078.6
20150617 09:16:16.600,5078.6,5078.6,5078.6,5078.6,9696,5078.6
20150617 09:16:17.100,5078.0,5078.0,5078.0,5078.0,9727,5078.0
20150617 09:16:17.600,5078.2,5078.2,5078.2,5078.2,9744,5078.2
20150617 09:16:18.100,5078.4,5078.4,5078.4,5078.4,9792,5078.4
20150617 09:16:18.600,5078.2,5078.2,5078.2,5078.2,9803,5078.2
20150617 09:16:19.100,5078.0,5078.0,5078.0,5078.0,9820,5078.0
20150617 09:16:19.600,5078.2,5078.2,5078.2,5078.2,9832,5078.2
20150617 09:16:20.100,5078.0,5078.0,5078.0,5078.0,9854,5078.0
20150617 09:16:20.600,5078.0,5078.0,5078.0,5078.0,9875,5078.0
20150617 09:16:21.100,5077.8,5077.8,5077.8,5077.8,9899,5077.8
20150617 09:16:21.600,5078.0,5078.0,5078.0,5078.0,9940,5078.0
20150617 09:16:22.100,5079.0,5079.0,5079.0,5079.0,9955,5079.0
20150617 09:16:22.600,5079.0,5079.0,5079.0,5079.0,9987,5079.0
20150617 09:16:23.100,5079.0,5079.0,5079.0,5079.0,10000,5079.0
20150617 09:16:23.600,5079.4,5079.4,5079.4,5079.4,10041,5079.4
20150617 09:16:24.100,5078.8,5078.8,5078.8,5078.8,10066,5078.8
20150617 09:16:24.600,5079.0,5079.0,5079.0,5079.0,10083,5079.0
20150617 09:16:25.100,5079.4,5079.4,5079.4,5079.4,10110,5079.4
20150617 09:16:25.600,5079.0,5079.0,5079.0,5079.0,10137,5079.0
20150617 09:16:26.100,5079.0,5079.0,5079.0,5079.0,10154,5079.0
20150617 09:16:26.600,5078.8,5078.8,5078.8,5078.8,10193,5078.8
20150617 09:16:27.100,5077.4,5077.4,5077.4,5077.4,10212,5077.4
20150617 09:16:27.600,5078.0,5078.0,5078.0,5078.0,10230,5078.0
20150617 09:16:28.100,5077.8,5077.8,5077.8,5077.8,10265,5077.8
20150617 09:16:28.600,5077.4,5077.4,5077.4,5077.4,10333,5077.4
20150617 09:16:29.100,5075.6,5075.6,5075.6,5075.6,10422,5075.6
20150617 09:16:29.600,5075.4,5075.4,5075.4,5075.4,10531,5075.4
20150617 09:16:30.100,5075.8,5075.8,5075.8,5075.8,10581,5075.8
20150617 09:16:30.600,5076.4,5076.4,5076.4,5076.4,10638,5076.4
20150617 09:16:31.100,5075.8,5075.8,5075.8,5075.8,10662,5075.8
20150617 09:16:31.600,5076.2,5076.2,5076.2,5076.2,10715,5076.2
20150617 09:16:32.100,5076.2,5076.2,5076.2,5076.2,10742,5076.2
20150617 09:16:32.600,5080.0,5080.0,5080.0,5080.0,10863,5080.0
20150617 09:16:33.100,5080.6,5080.6,5080.6,5080.6,10904,5080.6
20150617 09:16:33.600,5080.2,5080.2,5080.2,5080.2,10955,5080.2
20150617 09:16:34.100,5078.8,5078.8,5078.8,5078.8,11001,5078.8
20150617 09:16:34.600,5080.4,5080.4,5080.4,5080.4,11080,5080.4
20150617 09:16:35.100,5080.4,5080.4,5080.4,5080.4,11108,5080.4
20150617 09:16:35.600,5080.0,5080.0,5080.0,5080.0,11123,5080.0
20150617 09:16:36.100,5079.2,5079.2,5079.2,5079.2,11154,5079.2
20150617 09:16:36.600,5079.4,5079.4,5079.4,5079.4,11174,5079.4
20150617 09:16:37.100,5078.8,5078.8,5078.8,5078.8,11197,5078.8
20150617 09:16:37.600,5079.6,5079.6,5079.6,5079.6,11209,5079.6
20150617 09:16:38.100,5079.0,5079.0,5079.0,5079.0,11229,5079.0
20150617 09:16:38.600,5079.6,5079.6,5079.6,5079.6,11236,5079.6
20150617 09:16:39.100,5079.6,5079.6,5079.6,5079.6,11256,5079.6
20150617 09:16:39.600,5080.8,5080.8,5080.8,5080.8,11378,5080.8
20150617 09:16:40.100,5083.0,5083.0,5083.0,5083.0,11435,5083.0
20150617 09:16:40.600,5083.0,5083.0,5083.0,5083.0,11501,5083.0
20150617 09:16:41.100,5083.8,5083.8,5083.8,5083.8,11576,5083.8
20150617 09:16:41.600,5082.4,5082.4,5082.4,5082.4,11628,5082.4
20150617 09:16:42.100,5082.4,5082.4,5082.4,5082.4,11655,5082.4
20150617 09:16:42.600,5082.2,5082.2,5082.2,5082.2,11690,5082.2
20150617 09:16:43.100,5081.6,5081.6,5081.6,5081.6,11709,5081.6
20150617 09:16:43.600,5082.0,5082.0,5082.0,5082.0,11731,5082.0
20150617 09:16:44.100,5082.2,5082.2,5082.2,5082.2,11745,5082.2
20150617 09:16:44.600,5085.0,5085.0,5085.0,5085.0,11824,5085.0
20150617 09:16:45.100,5085.0,5085.0,5085.0,5085.0,11927,5085.0
20150617 09:16:45.600,5084.6,5084.6,5084.6,5084.6,11983,5084.6
20150617 09:16:46.100,5084.2,5084.2,5084.2,5084.2,12020,5084.2
20150617 09:16:46.600,5084.0,5084.0,5084.0,5084.0,12034,5084.0
20150617 09:16:47.100,5083.4,5083.4,5083.4,5083.4,12047,5083.4
20150617 09:16:47.600,5083.4,5083.4,5083.4,5083.4,12061,5083.4
20150617 09:16:48.100,5083.4,5083.4,5083.4,5083.4,12069,5083.4
20150617 09:16:48.600,5083.4,5083.4,5083.4,5083.4,12086,5083.4
20150617 09:16:49.100,5082.6,5082.6,5082.6,5082.6,12093,5082.6
20150617 09:16:49.600,5081.4,5081.4,5081.4,5081.4,12126,5081.4
20150617 09:16:50.100,5081.2,5081.2,5081.2,5081.2,12146,5081.2
20150617 09:16:50.600,5079.4,5079.4,5079.4,5079.4,12180,5079.4
20150617 09:16:51.100,5079.0,5079.0,5079.0,5079.0,12248,5079.0
20150617 09:16:51.600,5080.6,5080.6,5080.6,5080.6,12272,5080.6
20150617 09:16:52.100,5080.6,5080.6,5080.6,5080.6,12319,5080.6
20150617 09:16:52.600,5079.6,5079.6,5079.6,5079.6,12386,5079.6
20150617 09:16:53.100,5080.4,5080.4,5080.4,5080.4,12403,5080.4
20150617 09:16:53.600,5079.2,5079.2,5079.2,5079.2,12409,5079.2
20150617 09:16:54.100,5079.6,5079.6,5079.6,5079.6,12417,5079.6
20150617 09:16:54.600,5079.0,5079.0,5079.0,5079.0,12425,5079.0
20150617 09:16:55.100,5080.2,5080.2,5080.2,5080.2,12439,5080.2
20150617 09:16:55.600,5078.6,5078.6,5078.6,5078.6,12488,5078.6
20150617 09:16:56.100,5078.8,5078.8,5078.8,5078.8,12525,5078.8
20150617 09:16:56.600,5078.0,5078.0,5078.0,5078.0,12547,5078.0
20150617 09:16:57.100,5077.2,5077.2,5077.2,5077.2,12586,5077.2
20150617 09:16:57.600,5077.0,5077.0,5077.0,5077.0,12597,5077.0
20150617 09:16:58.100,5077.0,5077.0,5077.0,5077.0,12626,5077.0
20150617 09:16:58.600,5080.6,5080.6,5080.6,5080.6,12733,5080.6
20150617 09:16:59.100,5080.0,5080.0,5080.0,5080.0,12767,5080.0
20150617 09:16:59.600,5080.4,5080.4,5080.4,5080.4,12793,5080.4
20150617 09:17:00.100,5079.2,5079.2,5079.2,5079.2,12837,5079.2
20150617 09:17:00.600,5079.0,5079.0,5079.0,5079.0,12849,5079.0
20150617 09:17:01.100,5079.6,5079.6,5079.6,5079.6,12888,5079.6
20150617 09:17:01.600,5080.2,5080.2,5080.2,5080.2,12913,5080.2
20150617 09:17:02.100,5080.2,5080.2,5080.2,5080.2,12926,5080.2
20150617 09:17:02.600,5080.8,5080.8,5080.8,5080.8,12949,5080.8
20150617 09:17:03.100,5081.0,5081.0,5081.0,5081.0,12986,5081.0
20150617 09:17:03.600,5081.4,5081.4,5081.4,5081.4,13004,5081.4
20150617 09:17:04.100,5081.8,5081.8,5081.8,5081.8,13020,5081.8
20150617 09:17:04.600,5081.6,5081.6,5081.6,5081.6,13050,5081.6
20150617 09:17:05.100,5082.0,5082.0,5082.0,5082.0,13065,5082.0
20150617 09:17:05.600,5081.4,5081.4,5081.4,5081.4,13112,5081.4
20150617 09:17:06.100,5081.8,5081.8,5081.8,5081.8,13191,5081.8
20150617 09:17:06.600,5085.0,5085.0,5085.0,5085.0,13269,5085.0
20150617 09:17:07.100,5085.0,5085.0,5085.0,5085.0,13371,5085.0
20150617 09:17:07.600,5084.2,5084.2,5084.2,5084.2,13394,5084.2
20150617 09:17:08.100,5083.4,5083.4,5083.4,5083.4,13416,5083.4
20150617 09:17:08.600,5082.6,5082.6,5082.6,5082.6,13469,5082.6
20150617 09:17:09.100,5082.6,5082.6,5082.6,5082.6,13510,5082.6
20150617 09:17:09.600,5083.8,5083.8,5083.8,5083.8,13523,5083.8
20150617 09:17:10.100,5083.8,5083.8,5083.8,5083.8,13538,5083.8
20150617 09:17:10.600,5084.2,5084.2,5084.2,5084.2,13546,5084.2
20150617 09:17:11.100,5084.2,5084.2,5084.2,5084.2,13556,5084.2
20150617 09:17:11.600,5084.0,5084.0,5084.0,5084.0,13569,5084.0
20150617 09:17:12.100,5085.0,5085.0,5085.0,5085.0,13640,5085.0
20150617 09:17:12.600,5085.0,5085.0,5085.0,5085.0,13688,5085.0
20150617 09:17:13.100,5085.2,5085.2,5085.2,5085.2,13762,5085.2
20150617 09:17:13.600,5084.2,5084.2,5084.2,5084.2,13832,5084.2
20150617 09:17:14.100,5085.2,5085.2,5085.2,5085.2,13862,5085.2
20150617 09:17:14.600,5085.0,5085.0,5085.0,5085.0,13897,5085.0
20150617 09:17:15.100,5084.8,5084.8,5084.8,5084.8,13926,5084.8
20150617 09:17:15.600,5084.4,5084.4,5084.4,5084.4,13951,5084.4
20150617 09:17:16.100,5084.0,5084.0,5084.0,5084.0,13995,5084.0
20150617 09:17:16.600,5083.4,5083.4,5083.4,5083.4,14007,5083.4
20150617 09:17:17.100,5083.4,5083.4,5083.4,5083.4,14013,5083.4
20150617 09:17:17.600,5084.2,5084.2,5084.2,5084.2,14025,5084.2
20150617 09:17:18.100,5084.0,5084.0,5084.0,5084.0,14051,5084.0
20150617 09:17:18.600,5083.8,5083.8,5083.8,5083.8,14061,5083.8
20150617 09:17:19.100,5083.6,5083.6,5083.6,5083.6,14069,5083.6
20150617 09:17:19.600,5084.8,5084.8,5084.8,5084.8,14088,5084.8
20150617 09:17:20.100,5084.6,5084.6,5084.6,5084.6,14097,5084.6
20150617 09:17:20.600,5084.0,5084.0,5084.0,5084.0,14123,5084.0
20150617 09:17:21.100,5084.4,5084.4,5084.4,5084.4,14155,5084.4
20150617 09:17:21.600,5084.2,5084.2,5084.2,5084.2,14176,5084.2
20150617 09:17:22.100,5083.8,5083.8,5083.8,5083.8,14196,5083.8
20150617 09:17:22.600,5083.4,5083.4,5083.4,5083.4,14201,5083.4
20150617 09:17:23.100,5083.4,5083.4,5083.4,5083.4,14244,5083.4
20150617 09:17:23.600,5083.8,5083.8,5083.8,5083.8,14258,5083.8
20150617 09:17:24.100,5083.2,5083.2,5083.2,5083.2,14270,5083.2
20150617 09:17:24.600,5083.2,5083.2,5083.2,5083.2,14276,5083.2
20150617 09:17:25.100,5083.2,5083.2,5083.2,5083.2,14281,5083.2
20150617 09:17:25.600,5083.0,5083.0,5083.0,5083.0,14291,5083.0
20150617 09:17:26.100,5083.6,5083.6,5083.6,5083.6,14305,5083.6
20150617 09:17:26.600,5083.2,5083.2,5083.2,5083.2,14342,5083.2
20150617 09:17:27.100,5083.4,5083.4,5083.4,5083.4,14364,5083.4
20150617 09:17:27.600,5083.4,5083.4,5083.4,5083.4,14374,5083.4
20150617 09:17:28.100,5083.4,5083.4,5083.4,5083.4,14391,5083.4
20150617 09:17:28.600,5083.2,5083.2,5083.2,5083.2,14404,5083.2
20150617 09:17:29.100,5083.0,5083.0,5083.0,5083.0,14426,5083.0
20150617 09:17:29.600,5082.0,5082.0,5082.0,5082.0,14447,5082.0
20150617 09:17:30.100,5082.6,5082.6,5082.6,5082.6,14476,5082.6
20150617 09:17:30.600,5082.4,5082.4,5082.4,5082.4,14490,5082.4
20150617 09:17:31.100,5082.6,5082.6,5082.6,5082.6,14539,5082.6
20150617 09:17:31.600,5082.6,5082.6,5082.6,5082.6,14568,5082.6
20150617 09:17:32.100,5083.0,5083.0,5083.0,5083.0,14578,5083.0
20150617 09:17:32.600,5083.0,5083.0,5083.0,5083.0,14612,5083.0
20150617 09:17:33.100,5082.6,5082.6,5082.6,5082.6,14625,5082.6
20150617 09:17:33.600,5082.8,5082.8,5082.8,5082.8,14631,5082.8
20150617 09:17:34.100,5083.0,5083.0,5083.0,5083.0,14667,5083.0
20150617 09:17:34.600,5083.8,5083.8,5083.8,5083.8,14672,5083.8
20150617 09:17:35.100,5083.4,5083.4,5083.4,5083.4,14679,5083.4
20150617 09:17:35.600,5083.6,5083.6,5083.6,5083.6,14686,5083.6
20150617 09:17:36.100,5083.4,5083.4,5083.4,5083.4,14697,5083.4
20150617 09:17:36.600,5083.4,5083.4,5083.4,5083.4,14708,5083.4
20150617 09:17:37.100,5083.4,5083.4,5083.4,5083.4,14719,5083.4
20150617 09:17:37.600,5083.4,5083.4,5083.4,5083.4,14722,5083.4
20150617 09:17:38.100,5083.8,5083.8,5083.8,5083.8,14732,5083.8
20150617 09:17:38.600,5083.6,5083.6,5083.6,5083.6,14764,5083.6
20150617 09:17:39.100,5083.4,5083.4,5083.4,5083.4,14772,5083.4
20150617 09:17:39.600,5084.2,5084.2,5084.2,5084.2,14780,5084.2
20150617 09:17:40.100,5084.6,5084.6,5084.6,5084.6,14787,5084.6
20150617 09:17:40.600,5085.0,5085.0,5085.0,5085.0,14801,5085.0
20150617 09:17:41.100,5084.8,5084.8,5084.8,5084.8,14869,5084.8
20150617 09:17:41.600,5085.2,5085.2,5085.2,5085.2,14891,5085.2
20150617 09:17:42.100,5085.0,5085.0,5085.0,5085.0,14909,5085.0
20150617 09:17:42.600,5084.6,5084.6,5084.6,5084.6,14950,5084.6
20150617 09:17:43.100,5085.6,5085.6,5085.6,5085.6,14969,5085.6
20150617 09:17:43.600,5084.6,5084.6,5084.6,5084.6,14991,5084.6
20150617 09:17:44.100,5085.0,5085.0,5085.0,5085.0,15000,5085.0
20150617 09:17:44.600,5086.0,5086.0,5086.0,5086.0,15012,5086.0
20150617 09:17:45.100,5086.4,5086.4,5086.4,5086.4,15030,5086.4
20150617 09:17:45.600,5086.0,5086.0,5086.0,5086.0,15049,5086.0
20150617 09:17:46.100,5086.0,5086.0,5086.0,5086.0,15067,5086.0
20150617 09:17:46.600,5086.4,5086.4,5086.4,5086.4,15085,5086.4
20150617 09:17:47.100,5086.6,5086.6,5086.6,5086.6,15113,5086.6
20150617 09:17:47.600,5086.4,5086.4,5086.4,5086.4,15138,5086.4
20150617 09:17:48.100,5086.6,5086.6,5086.6,5086.6,15170,5086.6
20150617 09:17:48.600,5086.4,5086.4,5086.4,5086.4,15195,5086.4
20150617 09:17:49.100,5086.0,5086.0,5086.0,5086.0,15219,5086.0
20150617 09:17:49.600,5085.4,5085.4,5085.4,5085.4,15257,5085.4
20150617 09:17:50.100,5085.4,5085.4,5085.4,5085.4,15282,5085.4
20150617 09:17:50.600,5085.0,5085.0,5085.0,5085.0,15315,5085.0
20150617 09:17:51.100,5085.0,5085.0,5085.0,5085.0,15362,5085.0
20150617 09:17:51.600,5084.6,5084.6,5084.6,5084.6,15389,5084.6
20150617 09:17:52.100,5085.0,5085.0,5085.0,5085.0,15404,5085.0
20150617 09:17:52.600,5085.0,5085.0,5085.0,5085.0,15418,5085.0
20150617 09:17:53.100,5085.2,5085.2,5085.2,5085.2,15429,5085.2
